"Antibody","Virus","Study","IC50 (ug/mL)"
"10E8/N6","0013095_2_11","Khan2018_dataset1","0.0155"
"10E8/PGDM1400/PRO-140","0013095_2_11","Khan2018_dataset1","0.002"
"10E8/PGT121/PGDM1400.V1","0013095_2_11","Khan2018_dataset2","0.028"
"10E8/PGT121/PGDM1400.V2","0013095_2_11","Khan2018_dataset2","0.099"
"10E8/PGT121/PGDM1400.V3","0013095_2_11","Khan2018_dataset2","0.013"
"10E8/PGT121/PGDM1400.V4","0013095_2_11","Khan2018_dataset2","0.063"
"10E8/PGT121/PGDM1400.V5","0013095_2_11","Khan2018_dataset2","0.012"
"10E8/PGT121/PGDM1400.V6","0013095_2_11","Khan2018_dataset2","0.043"
"10E8/PGT121/PGDM1400.V7","0013095_2_11","Khan2018_dataset2","0.071"
"10E8/PGT121/PGDM1400.V8","0013095_2_11","Khan2018_dataset1","0.0001"
"10E8/PGT121/PGDM1400.V8","0013095_2_11","Khan2018_dataset2","0.019"
"10E8V1.1/P140","0013095_2_11","Huang2016","<0.0001"
"10E8V2.0/iMab","0013095_2_11","Huang2016","<0.0001"
"3BNC117/10-1074","0013095_2_11","Bournazos2016_dataset1","4.045"
"3BNC117/10-1074-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.705"
"3BNC117/PGT135-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.024"
"8ANC195/PGT128-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.192"
"M36/PRO-140","0013095_2_11","Khan2018_dataset1","0.0268"
"N6/10E8v4-PGDM1400","0013095_2_11","Xu2017","0.006"
"N6/PGDM1400-10E8v4","0013095_2_11","Xu2017","0.002"
"PG16/PGT121","0013095_2_11","Bournazos2016_dataset1","0.019"
"PG16/PGT128","0013095_2_11","Bournazos2016_dataset1","0.024"
"PGDM1400/PRO-140","0013095_2_11","Khan2018_dataset1","0.0006"
"PGT151/10-1074-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.033"
"PGT151/35O22","0013095_2_11","Bournazos2016_dataset1","11.832"
"PRO-140/PGDM1400/PGT121","0013095_2_11","Khan2018_dataset1","0.01"
"RoAb13/PGDM1400/PGT121","0013095_2_11","Khan2018_dataset1","0.009"
"VRC01/PGDM1400-10E8v4","0013095_2_11","Xu2017","0.009"
"10E8/N6","001428_2_42","Khan2018_dataset1","0.0676"
"10E8/PGDM1400/PRO-140","001428_2_42","Khan2018_dataset1","0.014"
"10E8/PGT121/PGDM1400.V8","001428_2_42","Khan2018_dataset1","0.007"
"10E8V1.1/P140","001428_2_42","Huang2016","0.004"
"10E8V2.0/iMab","001428_2_42","Huang2016","0.004"
"3BNC117/10-1074","001428_2_42","Bournazos2016_dataset1","0.029"
"3BNC117/10-1074-IgG3C","001428_2_42","Bournazos2016_dataset1","0.02"
"3BNC117/PGT135-IgG3C","001428_2_42","Bournazos2016_dataset1","0.003"
"8ANC195/PGT128-IgG3C","001428_2_42","Bournazos2016_dataset1","0.034"
"M36/PRO-140","001428_2_42","Khan2018_dataset1","0.024"
"N6/10E8v4-PGDM1400","001428_2_42","Xu2017","0.004"
"N6/PGDM1400-10E8v4","001428_2_42","Xu2017","0.002"
"PG16/PGT121","001428_2_42","Bournazos2016_dataset1","0.001"
"PG16/PGT128","001428_2_42","Bournazos2016_dataset1","0.002"
"PGDM1400/PRO-140","001428_2_42","Khan2018_dataset1","0.0045"
"PGT151/10-1074-IgG3C","001428_2_42","Bournazos2016_dataset1","0.024"
"PGT151/35O22","001428_2_42","Bournazos2016_dataset1","0.329"
"PRO-140/PGDM1400/PGT121","001428_2_42","Khan2018_dataset1","0.006"
"RoAb13/PGDM1400/PGT121","001428_2_42","Khan2018_dataset1","0.0119"
"VRC01/PGDM1400-10E8v4","001428_2_42","Xu2017","0.006"
"N6/10E8v4-PGDM1400","0077_V1_C16","Xu2017","0.061"
"N6/PGDM1400-10E8v4","0077_V1_C16","Xu2017","0.022"
"VRC01/PGDM1400-10E8v4","0077_V1_C16","Xu2017","0.028"
"N6/10E8v4-PGDM1400","00836_2_5","Xu2017","0.027"
"N6/PGDM1400-10E8v4","00836_2_5","Xu2017","0.016"
"VRC01/PGDM1400-10E8v4","00836_2_5","Xu2017","0.029"
"10E8/N6","0260_V5_C36","Khan2018_dataset1","0.1296"
"10E8/PGDM1400/PRO-140","0260_V5_C36","Khan2018_dataset1","0.04"
"10E8/PGT121/PGDM1400.V8","0260_V5_C36","Khan2018_dataset1","0.0135"
"10E8V1.1/P140","0260_V5_C36","Huang2016","0.029"
"10E8V2.0/iMab","0260_V5_C36","Huang2016","0.035"
"10E8V2.0/iMab","0260_V5_C36","Wagh2018","0.035"
"3BNC117/10-1074","0260_V5_C36","Bournazos2016_dataset1","0.312"
"3BNC117/10-1074-IgG3C","0260_V5_C36","Bournazos2016_dataset1","0.21"
"3BNC117/PGT135-IgG3C","0260_V5_C36","Wagh2018","0.074"
"M36/PRO-140","0260_V5_C36","Khan2018_dataset1","0.0106"
"N6/10E8v4-PGDM1400","0260_V5_C36","Xu2017","0.071"
"N6/PGDM1400-10E8v4","0260_V5_C36","Xu2017","0.036"
"PG16/10-1074","0260_V5_C36","Bournazos2016_dataset1","0.091"
"PG16/PGT121","0260_V5_C36","Bournazos2016_dataset1","0.817"
"PG16/PGT128","0260_V5_C36","Bournazos2016_dataset1","0.635"
"PGDM1400/PRO-140","0260_V5_C36","Khan2018_dataset1","0.018"
"PGT151/35O22","0260_V5_C36","Bournazos2016_dataset1","0.68"
"PRO-140/PGDM1400/PGT121","0260_V5_C36","Khan2018_dataset1","0.019"
"RoAb13/PGDM1400/PGT121","0260_V5_C36","Khan2018_dataset1","0.0225"
"VRC01/PGDM1400-10E8v4","0260_V5_C36","Xu2017","0.025"
"10E8/N6","0330_V4_C3","Khan2018_dataset1","0.0294"
"10E8/PGT121/PGDM1400.V8","0330_V4_C3","Khan2018_dataset1","0.0008"
"10E8V1.1/P140","0330_V4_C3","Huang2016","0.001"
"10E8V2.0/iMab","0330_V4_C3","Huang2016","0.003"
"10E8V2.0/iMab","0330_V4_C3","Wagh2018","0.003"
"3BNC117/PGT135-IgG3C","0330_V4_C3","Wagh2018","0.048"
"M36/PRO-140","0330_V4_C3","Khan2018_dataset1","0.0018"
"N6/10E8v4-PGDM1400","0330_V4_C3","Xu2017","0.008"
"N6/PGDM1400-10E8v4","0330_V4_C3","Xu2017","0.006"
"PG16/PGT128","0330_V4_C3","Bournazos2016_dataset1","0.014"
"PGDM1400/PRO-140","0330_V4_C3","Khan2018_dataset1","0.0008"
"RoAb13/PGDM1400/PGT121","0330_V4_C3","Khan2018_dataset1","0.0041"
"VRC01/PGDM1400-10E8v4","0330_V4_C3","Xu2017","0.012"
"10E8V2.0/iMab","0439_V5_C1","Wagh2018","0.002"
"3BNC117/PGT135-IgG3C","0439_V5_C1","Wagh2018","0.083"
"N6/10E8v4-PGDM1400","0439_V5_C1","Xu2017","0.469"
"N6/PGDM1400-10E8v4","0439_V5_C1","Xu2017","0.284"
"VRC01/PGDM1400-10E8v4","0439_V5_C1","Xu2017","0.417"
"10E8/N6","0815_V3_C3","Khan2018_dataset1","0.2339"
"10E8/PGDM1400/PRO-140","0815_V3_C3","Khan2018_dataset1","0.025"
"10E8/PGT121/PGDM1400.V8","0815_V3_C3","Khan2018_dataset1","0.085"
"10E8V1.1/P140","0815_V3_C3","Huang2016","0.002"
"10E8V2.0/iMab","0815_V3_C3","Huang2016","0.001"
"3BNC117/10-1074","0815_V3_C3","Bournazos2016_dataset1","0.029"
"3BNC117/10-1074-IgG3C","0815_V3_C3","Bournazos2016_dataset1","0.012"
"3BNC117/PGT135-IgG3C","0815_V3_C3","Bournazos2016_dataset1","0.008"
"8ANC195/PGT128-IgG3C","0815_V3_C3","Bournazos2016_dataset1","0.036"
"M36/PRO-140","0815_V3_C3","Khan2018_dataset1","0.0074"
"N6/10E8v4-PGDM1400","0815_V3_C3","Xu2017","0.103"
"N6/PGDM1400-10E8v4","0815_V3_C3","Xu2017","0.084"
"PG16/PGT121","0815_V3_C3","Bournazos2016_dataset1","15.225"
"PG16/PGT128","0815_V3_C3","Bournazos2016_dataset1","24.937"
"PGDM1400/PRO-140","0815_V3_C3","Khan2018_dataset1","0.0117"
"PGT151/10-1074-IgG3C","0815_V3_C3","Bournazos2016_dataset1","0.061"
"PGT151/35O22","0815_V3_C3","Bournazos2016_dataset1","0.102"
"PRO-140/PGDM1400/PGT121","0815_V3_C3","Khan2018_dataset1","0.016"
"RoAb13/PGDM1400/PGT121","0815_V3_C3","Khan2018_dataset1","0.1775"
"VRC01/PGDM1400-10E8v4","0815_V3_C3","Xu2017","0.095"
"N6/10E8v4-PGDM1400","0921_V2_C14","Xu2017","0.014"
"N6/PGDM1400-10E8v4","0921_V2_C14","Xu2017","0.007"
"VRC01/PGDM1400-10E8v4","0921_V2_C14","Xu2017","0.027"
"10E8/N6","1006_11_C3_1601","Khan2018_dataset1","0.0746"
"10E8/PGT121/PGDM1400.V8","1006_11_C3_1601","Khan2018_dataset1","0.0024"
"10E8V1.1/P140","1006_11_C3_1601","Huang2016","0.007"
"10E8V2.0/iMab","1006_11_C3_1601","Huang2016","0.009"
"3BNC117/10-1074","1006_11_C3_1601","Bournazos2016_dataset1","0.018"
"3BNC117/10-1074-IgG3C","1006_11_C3_1601","Bournazos2016_dataset1","0.006"
"3BNC117/PGT135-IgG3C","1006_11_C3_1601","Bournazos2016_dataset1","0.016"
"8ANC195/PGT128-IgG3C","1006_11_C3_1601","Bournazos2016_dataset1","0.006"
"M36/PRO-140","1006_11_C3_1601","Khan2018_dataset1","0.0213"
"PG16/PGT121","1006_11_C3_1601","Bournazos2016_dataset1","1.196"
"PG16/PGT128","1006_11_C3_1601","Bournazos2016_dataset1","6.4"
"PGDM1400/PRO-140","1006_11_C3_1601","Khan2018_dataset1","0.0501"
"PGT151/10-1074-IgG3C","1006_11_C3_1601","Bournazos2016_dataset1","0.007"
"PGT151/35O22","1006_11_C3_1601","Bournazos2016_dataset1","6.427"
"RoAb13/PGDM1400/PGT121","1006_11_C3_1601","Khan2018_dataset1","0.0082"
"10E8/N6","1012_11_TC21_3257","Khan2018_dataset1","0.1597"
"10E8/PGDM1400/PRO-140","1012_11_TC21_3257","Khan2018_dataset1","0.019"
"10E8/PGT121/PGDM1400.V8","1012_11_TC21_3257","Khan2018_dataset1","0.0382"
"10E8V1.1/P140","1012_11_TC21_3257","Huang2016","0.001"
"10E8V2.0/iMab","1012_11_TC21_3257","Huang2016","0.001"
"3BNC117/10-1074","1012_11_TC21_3257","Bournazos2016_dataset1","0.029"
"3BNC117/10-1074-IgG3C","1012_11_TC21_3257","Bournazos2016_dataset1","0.017"
"3BNC117/PGT135-IgG3C","1012_11_TC21_3257","Bournazos2016_dataset1","0.009"
"8ANC195/PGT128-IgG3C","1012_11_TC21_3257","Bournazos2016_dataset1","0.017"
"M36/PRO-140","1012_11_TC21_3257","Khan2018_dataset1","0.0211"
"PG16/PGT121","1012_11_TC21_3257","Bournazos2016_dataset1","0.094"
"PG16/PGT128","1012_11_TC21_3257","Bournazos2016_dataset1","0.094"
"PGDM1400/PRO-140","1012_11_TC21_3257","Khan2018_dataset1","0.0105"
"PGT151/10-1074-IgG3C","1012_11_TC21_3257","Bournazos2016_dataset1","0.078"
"PGT151/35O22","1012_11_TC21_3257","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","1012_11_TC21_3257","Khan2018_dataset1","0.02"
"RoAb13/PGDM1400/PGT121","1012_11_TC21_3257","Khan2018_dataset1","0.0215"
"10E8/N6","1054_07_TC4_1499","Khan2018_dataset1","0.0297"
"10E8/PGDM1400/PRO-140","1054_07_TC4_1499","Khan2018_dataset1","0.011"
"10E8/PGT121/PGDM1400.V8","1054_07_TC4_1499","Khan2018_dataset1","0.0016"
"10E8V1.1/P140","1054_07_TC4_1499","Huang2016","0.002"
"10E8V2.0/iMab","1054_07_TC4_1499","Huang2016","0.002"
"3BNC117/10-1074","1054_07_TC4_1499","Bournazos2016_dataset1","0.177"
"3BNC117/10-1074-IgG3C","1054_07_TC4_1499","Bournazos2016_dataset1","0.053"
"3BNC117/PGT135-IgG3C","1054_07_TC4_1499","Bournazos2016_dataset1","0.019"
"8ANC195/PGT128-IgG3C","1054_07_TC4_1499","Bournazos2016_dataset1","0.013"
"M36/PRO-140","1054_07_TC4_1499","Khan2018_dataset1","0.0057"
"PG16/PGT121","1054_07_TC4_1499","Bournazos2016_dataset1",">40"
"PG16/PGT128","1054_07_TC4_1499","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","1054_07_TC4_1499","Khan2018_dataset1","0.7432"
"PGT151/10-1074-IgG3C","1054_07_TC4_1499","Bournazos2016_dataset1","0.01"
"PGT151/35O22","1054_07_TC4_1499","Bournazos2016_dataset1","0.023"
"PRO-140/PGDM1400/PGT121","1054_07_TC4_1499","Khan2018_dataset1","0.225"
"RoAb13/PGDM1400/PGT121","1054_07_TC4_1499","Khan2018_dataset1","0.0001"
"10E8/N6","1056_10_TA11_1826","Khan2018_dataset1","0.0001"
"10E8/PGDM1400/PRO-140","1056_10_TA11_1826","Khan2018_dataset1","0.024"
"10E8/PGT121/PGDM1400.V1","1056_10_TA11_1826","Khan2018_dataset2","0.15"
"10E8/PGT121/PGDM1400.V2","1056_10_TA11_1826","Khan2018_dataset2","0.136"
"10E8/PGT121/PGDM1400.V3","1056_10_TA11_1826","Khan2018_dataset2","0.077"
"10E8/PGT121/PGDM1400.V4","1056_10_TA11_1826","Khan2018_dataset2","0.106"
"10E8/PGT121/PGDM1400.V5","1056_10_TA11_1826","Khan2018_dataset2","0.101"
"10E8/PGT121/PGDM1400.V6","1056_10_TA11_1826","Khan2018_dataset2","0.084"
"10E8/PGT121/PGDM1400.V7","1056_10_TA11_1826","Khan2018_dataset2","0.091"
"10E8/PGT121/PGDM1400.V8","1056_10_TA11_1826","Khan2018_dataset3","0.0323"
"10E8/PGT121/PGDM1400.V8","1056_10_TA11_1826","Khan2018_dataset1","0.0526"
"10E8/PGT121/PGDM1400.V8","1056_10_TA11_1826","Khan2018_dataset2","0.066"
"10E8/PGT121/PGDM1400.V8Fc","1056_10_TA11_1826","Khan2018_dataset3","0.0263"
"10E8V1.1/P140","1056_10_TA11_1826","Huang2016","0.004"
"10E8V2.0/iMab","1056_10_TA11_1826","Huang2016","0.003"
"3BNC117/10-1074","1056_10_TA11_1826","Bournazos2016_dataset1","0.24"
"3BNC117/10-1074-IgG3C","1056_10_TA11_1826","Bournazos2016_dataset1","0.062"
"3BNC117/PGT135-IgG3C","1056_10_TA11_1826","Bournazos2016_dataset1","0.05"
"8ANC195/PGT128-IgG3C","1056_10_TA11_1826","Bournazos2016_dataset1","0.008"
"M36/PRO-140","1056_10_TA11_1826","Khan2018_dataset1","0.0067"
"PG16/PGT121","1056_10_TA11_1826","Bournazos2016_dataset1","1.219"
"PG16/PGT128","1056_10_TA11_1826","Bournazos2016_dataset1","0.42"
"PGDM1400/PRO-140","1056_10_TA11_1826","Khan2018_dataset1","0.2325"
"PGT151/10-1074-IgG3C","1056_10_TA11_1826","Bournazos2016_dataset1","0.019"
"PGT151/35O22","1056_10_TA11_1826","Bournazos2016_dataset1","0.188"
"PRO-140/PGDM1400/PGT121","1056_10_TA11_1826","Khan2018_dataset1","0.043"
"RoAb13/PGDM1400/PGT121","1056_10_TA11_1826","Khan2018_dataset1","0.0521"
"10E8/N6","1394_C9G1","Khan2018_dataset1","0.0072"
"10E8/PGDM1400/PRO-140","1394_C9G1","Khan2018_dataset1","0.003"
"10E8/PGT121/PGDM1400.V8","1394_C9G1","Khan2018_dataset1","0.0009"
"10E8V1.1/P140","1394_C9G1","Huang2016","0.001"
"10E8V2.0/iMab","1394_C9G1","Huang2016","0.002"
"3BNC117/10-1074","1394_C9G1","Bournazos2016_dataset1","0.592"
"3BNC117/10-1074-IgG3C","1394_C9G1","Bournazos2016_dataset1","0.123"
"3BNC117/PGT135-IgG3C","1394_C9G1","Bournazos2016_dataset1","0.519"
"8ANC195/PGT128-IgG3C","1394_C9G1","Bournazos2016_dataset1","0.02"
"M36/PRO-140","1394_C9G1","Khan2018_dataset1","0.0032"
"PG16/PGT121","1394_C9G1","Bournazos2016_dataset1","0.04"
"PG16/PGT128","1394_C9G1","Bournazos2016_dataset1","0.042"
"PGDM1400/PRO-140","1394_C9G1","Khan2018_dataset1","0.0002"
"PGT151/10-1074-IgG3C","1394_C9G1","Bournazos2016_dataset1","0.02"
"PGT151/35O22","1394_C9G1","Bournazos2016_dataset1","0.088"
"PRO-140/PGDM1400/PGT121","1394_C9G1","Khan2018_dataset1","0.003"
"RoAb13/PGDM1400/PGT121","1394_C9G1","Khan2018_dataset1","0.0027"
"10E8/N6","16055_2_3","Khan2018_dataset1","0.0237"
"10E8/PGDM1400/PRO-140","16055_2_3","Khan2018_dataset1","0.006"
"10E8/PGT121/PGDM1400.V8","16055_2_3","Khan2018_dataset1","0.0016"
"10E8V1.1/P140","16055_2_3","Huang2016","0.003"
"10E8V2.0/iMab","16055_2_3","Huang2016","0.002"
"3BNC117/10-1074","16055_2_3","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","16055_2_3","Bournazos2016_dataset1","11.93"
"3BNC117/PGT135-IgG3C","16055_2_3","Bournazos2016_dataset1","0.063"
"8ANC195/PGT128-IgG3C","16055_2_3","Bournazos2016_dataset1","7.924"
"M36/PRO-140","16055_2_3","Khan2018_dataset1","0.0276"
"N6/10E8v4-PGDM1400","16055_2_3","Xu2017","0.008"
"N6/PGDM1400-10E8v4","16055_2_3","Xu2017","0.004"
"PG16/PGT121","16055_2_3","Bournazos2016_dataset1","0.008"
"PG16/PGT128","16055_2_3","Bournazos2016_dataset1","0.013"
"PGDM1400/PRO-140","16055_2_3","Khan2018_dataset1","0.0007"
"PGT151/10-1074-IgG3C","16055_2_3","Bournazos2016_dataset1","0.104"
"PGT151/35O22","16055_2_3","Bournazos2016_dataset1","1.828"
"PRO-140/PGDM1400/PGT121","16055_2_3","Khan2018_dataset1","0.004"
"RoAb13/PGDM1400/PGT121","16055_2_3","Khan2018_dataset1","0.0043"
"VRC01/PGDM1400-10E8v4","16055_2_3","Xu2017","0.005"
"10E8/N6","16845_2_22","Khan2018_dataset1","0.1135"
"10E8/PGDM1400/PRO-140","16845_2_22","Khan2018_dataset1","0.015"
"10E8/PGT121/PGDM1400.V8","16845_2_22","Khan2018_dataset1","0.0611"
"10E8V1.1/P140","16845_2_22","Huang2016","0.001"
"10E8V2.0/iMab","16845_2_22","Huang2016","0.001"
"3BNC117/10-1074","16845_2_22","Bournazos2016_dataset2","1.804"
"3BNC117/10-1074","16845_2_22","Bournazos2016_dataset1","4.447"
"3BNC117/10-1074-IgG3C","16845_2_22","Bournazos2016_dataset1","1.804"
"3BNC117/PGT135-IgG3C","16845_2_22","Bournazos2016_dataset1","0.176"
"8ANC195/PGT128-IgG3C","16845_2_22","Bournazos2016_dataset1","0.089"
"M36/PRO-140","16845_2_22","Khan2018_dataset1","0.0117"
"N6/10E8v4-PGDM1400","16845_2_22","Xu2017","0.592"
"N6/PGDM1400-10E8v4","16845_2_22","Xu2017","0.198"
"PG16/10-1074","16845_2_22","Bournazos2016_dataset2","0.28"
"PG16/10-1074","16845_2_22","Bournazos2016_dataset1","0.402"
"PG16/PGT121","16845_2_22","Bournazos2016_dataset2","0.171"
"PG16/PGT121","16845_2_22","Bournazos2016_dataset1","9.374"
"PG16/PGT128","16845_2_22","Bournazos2016_dataset2","0.086"
"PG16/PGT128","16845_2_22","Bournazos2016_dataset1","5.096"
"PGDM1400/PRO-140","16845_2_22","Khan2018_dataset1","1.147"
"PGT151/10-1074-IgG3C","16845_2_22","Bournazos2016_dataset1","0.105"
"PGT151/35O22","16845_2_22","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","16845_2_22","Khan2018_dataset1","22.72"
"RoAb13/PGDM1400/PGT121","16845_2_22","Khan2018_dataset1","6.74"
"VRC01/PGDM1400-10E8v4","16845_2_22","Xu2017","0.542"
"N6/10E8v4-PGDM1400","16936_2_21","Xu2017","0.027"
"N6/PGDM1400-10E8v4","16936_2_21","Xu2017","0.004"
"VRC01/PGDM1400-10E8v4","16936_2_21","Xu2017","0.011"
"10E8V2.0/iMab",190049,"Wagh2018","0.0003"
"3BNC117/PGT135-IgG3C",190049,"Wagh2018","0.109"
"10E8/N6","191084_B7_19","Khan2018_dataset1","0.0237"
"10E8/PGDM1400/PRO-140","191084_B7_19","Khan2018_dataset1","0.02"
"10E8/PGT121/PGDM1400.V8","191084_B7_19","Khan2018_dataset1","0.0192"
"10E8V1.1/P140","191084_B7_19","Huang2016","0.002"
"10E8V2.0/iMab","191084_B7_19","Huang2016","0.003"
"10E8V2.0/iMab","191084_B7_19","Wagh2018","0.003"
"3BNC117/10-1074","191084_B7_19","Bournazos2016_dataset1","0.121"
"3BNC117/10-1074-IgG3C","191084_B7_19","Bournazos2016_dataset1","0.06"
"3BNC117/PGT135-IgG3C","191084_B7_19","Bournazos2016_dataset1","0.008"
"3BNC117/PGT135-IgG3C","191084_B7_19","Wagh2018","0.008"
"8ANC195/PGT128-IgG3C","191084_B7_19","Bournazos2016_dataset1","0.048"
"M36/PRO-140","191084_B7_19","Khan2018_dataset1","0.01"
"PG16/PGT121","191084_B7_19","Bournazos2016_dataset1","0.034"
"PG16/PGT128","191084_B7_19","Bournazos2016_dataset1","0.032"
"PGDM1400/PRO-140","191084_B7_19","Khan2018_dataset1","0.008"
"PGT151/10-1074-IgG3C","191084_B7_19","Bournazos2016_dataset1","0.006"
"PGT151/35O22","191084_B7_19","Bournazos2016_dataset1","0.044"
"PRO-140/PGDM1400/PGT121","191084_B7_19","Khan2018_dataset1","0.011"
"RoAb13/PGDM1400/PGT121","191084_B7_19","Khan2018_dataset1","0.0377"
"10E8V2.0/iMab",191647,"Wagh2018","0.002"
"3BNC117/PGT135-IgG3C",191647,"Wagh2018","0.023"
"10E8V2.0/iMab","191727_F6","Wagh2018","0.003"
"3BNC117/PGT135-IgG3C","191727_F6","Wagh2018","0.054"
"10E8V1.1/P140","191821_E6_1","Huang2016","<0.0001"
"10E8V2.0/iMab","191821_E6_1","Huang2016","<0.0001"
"10E8V2.0/iMab","191821_E6_1","Wagh2018","<0.0001"
"3BNC117/10-1074","191821_E6_1","Bournazos2016_dataset1","0.902"
"3BNC117/10-1074-IgG3C","191821_E6_1","Bournazos2016_dataset1","0.448"
"3BNC117/PGT135-IgG3C","191821_E6_1","Bournazos2016_dataset1","0.033"
"3BNC117/PGT135-IgG3C","191821_E6_1","Wagh2018","0.033"
"8ANC195/PGT128-IgG3C","191821_E6_1","Bournazos2016_dataset1","0.016"
"N6/10E8v4-PGDM1400","191821_E6_1","Xu2017","0.177"
"N6/PGDM1400-10E8v4","191821_E6_1","Xu2017","0.073"
"PG16/PGT121","191821_E6_1","Bournazos2016_dataset1",">40"
"PG16/PGT128","191821_E6_1","Bournazos2016_dataset1","12.87"
"PGT151/10-1074-IgG3C","191821_E6_1","Bournazos2016_dataset1","0.197"
"PGT151/35O22","191821_E6_1","Bournazos2016_dataset1","1.153"
"VRC01/PGDM1400-10E8v4","191821_E6_1","Xu2017","0.069"
"10E8V2.0/iMab","191845_B11","Wagh2018","0.005"
"3BNC117/PGT135-IgG3C","191845_B11","Wagh2018",">25"
"10E8V2.0/iMab",191859,"Wagh2018","0.026"
"3BNC117/PGT135-IgG3C",191859,"Wagh2018","0.06"
"10E8V2.0/iMab",191882,"Wagh2018","0.004"
"3BNC117/PGT135-IgG3C",191882,"Wagh2018","0.024"
"10E8/PGDM1400/PRO-140","191955_A11","Khan2018_dataset1","0.005"
"10E8V1.1/P140","191955_A11","Huang2016","0.0003"
"10E8V2.0/iMab","191955_A11","Huang2016","0.005"
"10E8V2.0/iMab","191955_A11","Wagh2018","0.005"
"3BNC117/10-1074","191955_A11","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","191955_A11","Bournazos2016_dataset1",">20"
"3BNC117/PGT135-IgG3C","191955_A11","Bournazos2016_dataset1","1.145"
"3BNC117/PGT135-IgG3C","191955_A11","Wagh2018","2.149"
"8ANC195/PGT128-IgG3C","191955_A11","Bournazos2016_dataset1","3.948"
"PG16/PGT121","191955_A11","Bournazos2016_dataset1","0.022"
"PG16/PGT128","191955_A11","Bournazos2016_dataset1","0.029"
"PGT151/10-1074-IgG3C","191955_A11","Bournazos2016_dataset1","0.025"
"PGT151/35O22","191955_A11","Bournazos2016_dataset1","0.043"
"PRO-140/PGDM1400/PGT121","191955_A11","Khan2018_dataset1","0.006"
"10E8V2.0/iMab","21020_13","Wagh2018","0.002"
"3BNC117/PGT135-IgG3C","21020_13","Wagh2018","0.066"
"10E8/N6","211_9","Khan2018_dataset1","0.7426"
"10E8/PGDM1400/PRO-140","211_9","Khan2018_dataset1","0.031"
"10E8/PGT121/PGDM1400.V8","211_9","Khan2018_dataset1","0.0972"
"10E8V1.1/P140","211_9","Huang2016","0.003"
"10E8V2.0/iMab","211_9","Huang2016","0.013"
"3BNC117/10-1074","211_9","Bournazos2016_dataset1","0.68"
"3BNC117/10-1074-IgG3C","211_9","Bournazos2016_dataset1","0.232"
"3BNC117/PGT135-IgG3C","211_9","Bournazos2016_dataset1","0.115"
"8ANC195/PGT128-IgG3C","211_9","Bournazos2016_dataset1","0.106"
"M36/PRO-140","211_9","Khan2018_dataset1","0.018"
"PG16/10-1074","211_9","Bournazos2016_dataset1","0.027"
"PG16/PGT121","211_9","Bournazos2016_dataset1","0.027"
"PG16/PGT128","211_9","Bournazos2016_dataset1","0.033"
"PGDM1400/PRO-140","211_9","Khan2018_dataset1","0.0518"
"PGT151/10-1074-IgG3C","211_9","Bournazos2016_dataset1","0.014"
"PGT151/35O22","211_9","Bournazos2016_dataset1","0.022"
"PRO-140/PGDM1400/PGT121","211_9","Khan2018_dataset1","0.092"
"RoAb13/PGDM1400/PGT121","211_9","Khan2018_dataset1","0.1376"
"10E8/N6","231965_C1","Khan2018_dataset1","0.0431"
"10E8/PGDM1400/PRO-140","231965_C1","Khan2018_dataset1","0.04"
"10E8/PGT121/PGDM1400.V8","231965_C1","Khan2018_dataset1","0.468"
"10E8/PGT121/PGDM1400.V8","231965_C1","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","231965_C1","Khan2018_dataset3","0.464"
"10E8/PGT121/PGDM1400.V8LL","231965_C1","Khan2018_dataset3","0.526"
"10E8V1.1/P140","231965_C1","Huang2016","0.003"
"10E8V2.0/iMab","231965_C1","Huang2016","<0.0001"
"10E8V2.0/iMab","231965_C1","Wagh2018","<0.0001"
"3BNC117/10-1074","231965_C1","Bournazos2016_dataset1","0.275"
"3BNC117/10-1074-IgG3C","231965_C1","Bournazos2016_dataset1","0.127"
"3BNC117/PGT135-IgG3C","231965_C1","Bournazos2016_dataset1","0.032"
"3BNC117/PGT135-IgG3C","231965_C1","Wagh2018","0.032"
"8ANC195/PGT128-IgG3C","231965_C1","Bournazos2016_dataset1","0.342"
"M36/PRO-140","231965_C1","Khan2018_dataset1","0.0051"
"N6/10E8v4-PGDM1400","231965_C1","Xu2017","0.083"
"N6/PGDM1400-10E8v4","231965_C1","Xu2017","0.017"
"PG16/PGT121","231965_C1","Bournazos2016_dataset1","0.54"
"PG16/PGT128","231965_C1","Bournazos2016_dataset1","0.356"
"PGDM1400/PRO-140","231965_C1","Khan2018_dataset1","0.0532"
"PGT151/10-1074-IgG3C","231965_C1","Bournazos2016_dataset1","0.021"
"PGT151/35O22","231965_C1","Bournazos2016_dataset1","0.048"
"PRO-140/PGDM1400/PGT121","231965_C1","Khan2018_dataset1","0.694"
