,A/AUCKLAND/20/2003,A/AUCKLAND/5/96,A/BANGKOK/1/97,A/BEIJING/32/92,A/BRISBANE/10/2007,A/BRISBANE/22/94,A/BRISBANE/22/96,A/BRISBANE/3/2005,A/BRISBANE/342/2003,A/BRISBANE/5/2002,A/CALIFORNIA/7/2004,A/CANBERRA/1/96,A/CANBERRA/9/97,A/CHRISTCHURCH/1/96,A/CHRISTCHURCH/68/99,A/FUJIAN/140/2000,A/FUJIAN/411/2002,A/FUKUOKA/55/2002,A/JOHANNESBURG/33/94,A/NANCHANG/933/95,A/NEW/YORK/55/2004,A/NEWCALEDONIA/12/2004,A/PANAMA/2007/99,A/PERTH/16/2009,A/PERTH/27/2007,A/PERTH/5/97,A/PERTH/9/97,A/PHILIPPINES/427/2002/MDCK,A/PHILIPPINES/472/2002/EGG,A/SHANGDONG/9/93,A/SINGAPORE/37/2004,A/SOUTH/AUSTRALIA/53/2001,A/SOUTH/AUSTRALIA/84/2002,A/SYDNEY/228/2000,A/SYDNEY/5/97,A/TASMANIA/1/97,A/TOWNSVILLE/2/99,A/TOWNSVILLE/36/2003,A/TOWNSVILLE/4/2002,A/URUGUAY/716/2007,A/VICTORIA/1/93,A/VICTORIA/110/2004,A/VICTORIA/208/2009,A/VICTORIA/361/2011,A/VICTORIA/47/97,A/VICTORIA/500/2009,A/VICTORIA/507/98,A/VICTORIA/523/2004,A/VICTORIA/577/99,A/VICTORIA/8/2010,A/VICTORIA/9/94,A/WELLINGTON/1/2004,A/WELLINGTON/1/94,A/WELLINGTON/25/93,A/WELLINGTON/48/96,A/WELLINGTON/96/93,A/WISCONSIN/67/2005,A/WUHAN/359/95,A/WYOMING/3/2003,BI/16190/68,BI/1761/76,BI/21793/72,BI/2271/76,HN196/2009,HN201/2009,HN206/2009,NL/179/93,NL/213/03,NL/233/82,NL/301/99,NL/620/89,NL/823/92,RG145K/NL/178/95,VN015/EL134/2008,VN016/EL135/2008,VN017/EL140/2008,VN018/EL204/2009,VN019/EL442/2010,VN020/EL443/2010,VN021/EL444/2010,VN053/2010
A/WELLINGTON/25/93,0.7133170839775195,1.6131023057714058,1.6145941125942547,2.7930481020845073,0.7058496584809921,3.0786338670788482,2.205180642336106,0.7018998651075924,0.7156063271795967,0.7141113964427359,0.7105851083118974,2.1825882296894568,0.7190916853268585,1.8982396502876702,0.6947308480155193,0.7088562248028488,0.69896100100128,0.6986586909736696,2.220593474026597,1.900601848117422,0.6964919516771431,0.6943966525451423,0.7066736732983488,0.697863681186868,0.7026229657162631,2.1948289689997766,2.2047323750944448,0.7033573500313669,0.6916387584351444,3.0331885938670458,0.708961201357581,0.6925691603688297,0.7042356808711554,0.6994040439479057,0.709192226065753,0.7335745070056373,0.6968964363362613,0.6899052947206284,0.700888694346418,0.6925926238447587,2.4647091181263896,0.6899359757749175,0.7066024961555184,0.6946348209577486,1.8987939646839052,0.6882183336086313,0.7213554203592748,0.6955506422664035,0.7098852852713262,0.7074887369533265,2.806313429107991,0.693737992807737,3.0614793335397645,2.8335408428677056,2.208336127160255,1.9294132709835852,0.6980832705400835,1.839619654265098,0.6939976568413715,1.2181616674863505,1.2497284769073655,1.2414040020265644,1.7912927157930238,0.6551101506858874,0.7332712177592292,0.6486994194697603,2.802547305292329,0.6980998591072068,2.3177960263754915,0.6977765666467922,2.686704111778623,2.1351193839240974,2.194342928527548,0.7830653835962861,0.6664413838147115,0.6562174791228932,0.7913579838048379,0.7936919553261389,0.6743365621944003,1.0339214279102857,0.9928889722375507
A/WELLINGTON/96/93,0.7201541907653016,1.3353105930004663,1.617411564856191,2.2562577461443705,0.7104897450114901,3.3872855820410117,2.2488301006746703,0.7065615532279982,0.7045609764264429,0.7075712731393738,0.7064209243299006,2.185351634673356,0.7145763439133701,1.9049566974557477,0.6937786162288639,0.708179019466239,0.7107673791528311,0.689602017819633,2.774538260885193,2.179414480895942,0.697413793704385,0.6901780064162493,0.703642643492073,0.7003785025637189,0.7046366743227985,2.2303929197782453,2.479524752338595,0.7107468862520423,0.7011159450409804,2.769090596048655,0.7045101439268239,0.6886151263035681,0.7092539221428578,0.6828064422380069,0.7083717258161993,0.7193113608550493,0.7023727065055041,0.6969239120488144,0.7037871999285534,0.6902679071358949,1.6244852177519125,0.6850218402309689,0.707860196181376,0.6951488979140255,2.1720975781802445,0.689233868032633,0.7198374311039926,0.6967981071014051,0.7097836514182323,0.7005712475252026,3.354214511439764,0.6924080610453793,3.3720901198178965,3.3886293198622766,2.2174624491923556,2.4960555339620547,0.6977552231920925,1.8627842154796221,0.6978713004021035,1.2965877490229056,1.1003840102815112,1.2547465417532881,1.527899202375767,0.6853405012030096,0.8874841893450439,0.7764466420560847,3.3732667588868614,0.6936801217963724,2.090758172433236,0.7054775993299238,2.4370838184738304,1.9016243198602143,2.4900030140672333,0.7527306755345912,0.6308562768170581,0.6805272910294327,0.8036236689102552,0.7700718478996446,0.6642544552935783,1.0065480329564669,0.6792770051427662
A/VICTORIA/9/94,0.7135572752616655,1.614266189420274,1.6276685595210618,2.25099547988603,0.7108159885750759,3.654295362449364,2.4794546714718413,0.6860413041871409,0.6941840656914539,0.7073420412339284,0.7033380891211356,2.175245203342397,0.7194811154965152,1.9131133852831446,0.700812790740243,0.7077330674029756,0.6985443637389643,0.7072545029518353,2.763602236113128,2.1871344887091384,0.6981999980633572,0.6886358525016628,0.7067547673502185,0.7065422511464724,0.7007291395697114,2.471223864837167,2.480649936743797,0.6920158760991395,0.6957449899346737,2.5241899018875835,0.7013256194240367,0.7041797414551775,0.706085556230581,0.6957333856481415,0.6924125979954362,0.7302988504769856,0.6995496069179298,0.7097336796583061,0.6954539399942096,0.6904070442769461,1.8995818195314378,0.7079718033578724,0.7049012928516069,0.7002923162566947,2.1769668667257767,0.6997747995826372,0.7195969953258828,0.7086177194251546,0.7051973688120469,0.6991493344461249,3.3566454039102798,0.691735695537251,3.3712609883007136,3.3852170069426752,2.221830017346603,2.487979878980298,0.6881837687521422,1.8415012909301618,0.6977212076754633,1.4842009017818267,1.1945802168089938,1.2675143762299872,1.6937513255395493,0.6794230430955754,0.8388971230315767,0.7521160464581373,3.3661949633980415,0.7108736631331706,2.1816703452859763,0.681623713049853,2.682941010668605,2.143142463528538,0.8730137323945366,0.6577479959807252,0.628986224622988,0.5853732254235652,0.7454181845809111,0.8189375204057894,0.6399126578551508,1.1083775764366453,0.9809588016369604
A/JOHANNESBURG/33/94,1.2672706959374125,1.3323675528751426,1.8678287373608105,1.6428103439555786,0.6900327196656699,3.0856097857562794,2.468048036376744,0.7052937957585811,0.6938818192437558,0.712809240665507,0.7051098953409917,0.7978237667930359,0.7108507599010332,1.6043467750775497,0.7105587505606403,0.7044473642103654,0.7034726698854747,0.7019537096493825,2.4772042546726625,2.1598142645465908,0.7004620224742059,0.6956666087131728,0.7002035512470182,0.7066022878684451,0.6959079715530312,2.1787229638172536,2.4510161492324394,0.7009579663128543,0.6970583186263032,1.9223499279368692,0.7173817333090146,0.7165978216638306,0.7185934730538069,0.6893747201007949,0.7207689523556048,0.7122048255728964,0.6860389707400671,0.7029815412350271,0.6956077334316269,0.7132078616874745,0.7540988168727784,0.6876737720789652,0.6999282067948259,0.7039426372625793,0.799113007672961,0.697009737800003,0.7225734468792527,0.9767290645560325,0.7014271529993351,0.7013541531420433,3.039526442039429,0.6871528695563288,2.807241901378284,3.057545778168374,1.6406695461917415,2.766075302612091,0.7046053766797534,1.8667653810893499,0.6975214134894002,1.3452598000247895,0.8865533380739392,1.1897775674282431,0.8608605300994333,0.7703347326342614,0.665949181801305,0.8191468292084569,3.0783360417958567,0.7109169065687448,1.452362226222769,0.6949981129995425,1.7588250145385942,1.371713105194728,2.4775322616021893,1.0416613711496643,1.0263172259532918,0.6480728302492895,0.9613226759299021,0.602523061848244,0.6822299933414407,1.1638904311338434,0.9181981947775502
A/SHANGDONG/9/93,0.9877515033477546,1.3350520718442267,1.8448795693080005,2.4643713276368056,0.6923512515200092,3.064947859067088,2.187375721529663,0.6971396645155226,0.6964462125278965,0.7073398314376788,0.6995389054511727,0.7953801440861802,0.7158382263232468,1.595866344774246,0.7069372550416488,0.7048076293667813,0.6974217282852531,0.7095345026784184,1.934116524082258,1.867922753250265,0.6932642052764532,0.6998713343511819,0.7027270999321095,0.7028989744645218,0.6978598134831132,2.152731430221417,2.168241872012328,0.6957484711866063,0.6859045765704385,2.4569654304000763,0.7074232795846498,0.7065269145981863,0.7144949225898304,0.7030897035921287,0.7087182568618345,0.705881864739292,0.6852716580506091,0.6964135203321197,0.6979917767743624,0.7074458301256985,0.7662291683436299,0.6991048039853462,0.6968233651941571,0.700865122009493,0.7960531422781859,0.6951505168206821,0.7169317538361432,0.7096309844703333,0.7099925751851305,0.7090333957547069,2.7751404619704445,0.6850083075253014,2.789845457405442,2.7914001187076556,1.6281427612455568,2.1878436304548723,0.6999052845956127,1.5712254969164166,0.6980946213409062,1.2824306084843964,1.0987384919173073,1.2811350507327008,1.2292336561831267,0.6755525806780204,0.5629138594714757,0.6939020988869982,2.7930226122659536,0.7100922779602701,1.868945771081549,0.6925001299182582,2.123438514321712,1.6091293159960847,1.9111651576395778,1.0740415751052184,0.8739738207236021,0.5877619719169345,0.8348408485767169,0.6373908751768468,0.6332643578175338,1.1439397660038448,1.0834597616463222
A/WELLINGTON/1/94_repeat,0.7138924073008701,1.6043479741580802,1.3551299224713031,1.6749166749575046,0.7012685363922614,3.361803665831204,2.199919078489684,0.7055524778301075,0.7048030301703283,0.7079875305518473,0.7052221236478541,1.8898073212737065,0.717566707287453,1.617739152481657,0.7027969910582604,0.7153582965541616,0.6998234934924713,0.6884330867965989,2.7420184908979666,1.9029057487210292,0.7025155387980326,0.6876304244940503,0.7114959646601361,0.7010441494824143,0.7052603112163147,2.1943706280902417,2.201687450875963,0.7040759778573809,0.7067392256961115,2.21607447213408,0.7020289067190945,0.6958036991067733,0.7018852084285638,0.680645068222045,0.7038044465974586,1.0086781929018713,0.6984571080362928,0.7002836091674242,0.7021512270816866,0.6945276324668305,1.609172432814069,0.6907590256169531,0.704405927648497,0.7006991031655273,1.88324809819545,0.6962537140281867,0.7155384249259301,0.6962992536891625,0.7018730691711441,0.6935135566968242,3.0511292920734325,0.6908632145174316,3.067825025784484,3.0851441575511744,1.929064607387848,2.487519126900379,0.696718665002478,1.8518629171883667,0.6940702956736997,1.211446776743965,0.9734727853137134,1.0749018755460429,1.2641543237123831,0.7329132428814089,0.9447513976687509,0.7657582264049085,2.854402458790092,0.7199270699113962,1.7032594821474736,0.6849228674428499,2.074339190701656,1.7542209338405645,2.2255033823257966,0.6709985177757554,0.8073297905525221,0.6965158430845096,0.7741784200371776,0.7362548477533482,0.693078571693152,1.0303913254197823,0.8023884556621306
A/WELLINGTON/1/94,0.9889710627019601,1.5935405484088125,1.602088916202127,1.65067960333538,0.6881252343428305,3.099216089819784,2.2074853818604425,0.9702782301739241,0.6985750365013909,0.7094872545476072,0.714518977842804,0.7902439738489978,0.7079617655988049,1.5959867945829775,0.7151637835958624,0.7133151515829647,0.6948463504674078,0.7001980398829418,2.476207270869206,2.151548327453351,0.7042222884217305,0.696712275428946,0.7005633252235769,0.7045824463731455,0.6984395237177372,1.9142649342088194,2.1635159517855276,0.7096081397059264,0.7063174639661368,1.9199502434549247,0.7198008663474669,0.7027118329162511,0.7129000207015593,0.6779702421159317,0.7199961061826295,0.9908446546338279,0.6897899899159325,0.6973620321904119,0.7024419346187458,0.7027941060470237,0.7591627548060572,0.6881396279690827,0.7033000268176111,0.7002471240984179,0.7927113164608863,0.7018259984120033,0.7152144432843647,0.9703169149317384,0.6966283217603622,0.7035109068650001,3.0366229183852713,0.6920205421972073,3.044660187915876,3.0674907464457974,1.6273506702591107,2.4832703699441536,0.7152563072377078,1.8633827411456187,0.6972264045962542,1.259807070545424,0.9664905542545601,1.2364457433906737,0.970174253964065,0.7361453634386461,0.8535123505882426,0.8458623741333969,3.0755665661370797,0.709250704519451,1.5278321000043493,0.6983202582628133,1.7809347824699775,1.3698331291732213,2.470310972345161,1.0885855765064265,1.0091838199872052,0.654856863397028,0.927884938711825,0.6649827330379342,0.680811625069337,1.0765314424738075,0.8311578596324015
A/NANCHANG/933/95,1.103581500841343,2.4496871014245936,2.4249030398456246,0.7327167175979633,0.7314518978832716,0.7349959860075825,2.731133632626478,0.2792747432635148,0.7905606182120223,0.7149461501779617,0.5030764736554438,2.465630425722501,0.7317368524116683,2.7560908460433144,0.7147604082284862,0.7107873246567659,0.7812385498214722,0.7438770544987038,0.7200981956978587,2.495693601885558,0.5038904688809526,0.7514770894134958,0.7059655478822644,0.8484927155168218,0.7536069685214444,2.4759658243073703,2.7574242271646017,0.4671338936626934,0.5242925413290612,0.7066852015043275,0.6360085234323313,0.8429692674170499,0.7246889269490207,0.7174774220463415,0.7142630251301062,1.9101694636146367,0.690616389176251,0.9216899304402346,0.6346681490909065,0.6094040053309459,0.6872252556142128,0.9039992760184143,0.7340097891784069,0.6495870912944844,2.759397835877048,0.6185602898945846,0.7478015263210948,0.6231649656613325,0.708797351883128,0.68208799905632,0.7525283608405572,0.5876455008129157,0.7372190760096331,0.7290103716526508,2.7230480411837172,0.7133254599323177,0.3595172781460652,2.152358492214343,0.7450318004403492,1.2064627794918883,0.7707484823447412,0.7939196345183238,1.175919642938994,0.7034016952314275,0.43243313053282467,0.7382124380385309,0.7062182949620263,0.7993242042975277,1.2522078237210952,0.6772859561648444,1.2194630362876353,1.7847363828130183,0.8069338444529814,0.7571515124828578,0.6908807800177702,0.6711244104132834,0.715093569229025,0.8411113890474239,0.6677256978654501,0.7043437470482644,1.291116589317658
A/TASMANIA/1/97,2.159316597643947,1.6247970024728815,1.9037554929345681,0.7153878218385347,0.7186627834084882,1.2960959706048518,2.7490553679736838,0.6727249256095219,1.3055933286685764,1.3065401562697003,0.6875378853591375,1.6360344888189702,1.6146847401096358,2.533876012807441,1.5591819114201217,0.7235390486651722,1.5748457354318144,0.7261943992917237,0.7167424781885615,2.496598119563695,0.7045269727867642,1.3036215800389312,0.7116002018070875,0.6994457956225588,0.7072750614533878,3.2970639378507958,3.6252396483712745,1.29688397315944,0.7230777086867354,0.7164367610257073,0.7165758704344334,1.8426002159405686,2.443201917845627,1.5743158200295229,1.0514040970463987,3.3330877010488216,1.3003320424894365,1.6003401765690224,1.2891217641601123,0.7181452602643869,1.2697917957023472,1.589352581644013,0.6911265446686919,0.7221732261378955,3.0557940059924174,0.6933784669605915,1.8962579095541559,0.711907825684734,0.7238085013034133,0.6898922784190963,1.0278143259901813,0.6898740651715223,1.0325401023950707,1.0177268321976007,2.4980373158301963,0.7259687613439276,0.6915345752412636,2.142150615969411,1.270983028046272,1.1616288684051577,0.7407519515971418,0.7621592621213841,1.2282373202460763,0.7866147544082677,0.6873644275168067,0.9245177491157486,0.7508399332641565,0.7685762807804252,1.316019352249796,0.7524199703212227,1.176597679006342,1.7423061397701831,1.639897082627169,0.5911081496707421,0.8562777668718543,0.5873750658270235,0.8883551203158663,1.0385905986759767,0.6910736505793953,0.6033948213878911,0.810070191251625
A/CANBERRA/1/96,1.8646977923274983,2.8114573417659083,3.049627982515748,1.9203999347398453,0.6938721517970805,2.784514011330397,3.367651612542786,0.6962522540437598,0.7196292063512628,1.0029745765606606,0.7102948620942782,3.0718071041339545,1.923742139968518,2.4997898873510023,1.5409045558892536,0.7523191446377502,0.7384811985894427,0.715703221170476,1.9261412870855277,3.375799066022605,0.6954413635634824,0.6804190870994667,1.0057394009316856,0.6904071444049211,0.7141368721924606,3.395345413673893,3.650115968327157,0.9808406396600936,0.760997273403382,2.1768182260426023,0.7295359338156271,0.7685493573000293,0.7424195209806594,1.004421855173271,1.8639654378538526,3.3394334505832974,0.7131712859580278,0.7209566011736217,0.7222335188755357,0.7108695232954364,0.7568593237722955,0.695720229710208,0.7053894345628555,0.7006227336756032,2.803988524938719,0.6908435290833589,1.5780828962360856,1.2447192017848687,1.280852700580039,0.705020975619217,2.5047548468657297,0.723511404081655,2.503296887347464,2.507081498743624,2.55934196259306,1.9260107986413746,0.7049130037096687,3.0340129435261805,1.2756983279427965,1.3218142369305883,1.091868753498767,1.1148703769430588,1.4485842185627016,0.9571413427536513,0.9008169303086824,0.6978530758572848,2.507626346478878,1.2629728104193627,1.8531968223613848,1.5725191276046075,1.9208378441317433,2.3864438480489203,2.8204240334443154,1.2554895529354095,0.9719748247189155,0.7542614173238621,1.1590109412986038,1.112232675061241,0.7909219153947333,0.9243461065672737,1.2051204058394418
