,S1,S3,S5,S6,S13,S14
A/TOWNSVILLE/2/99,2.5866659585999763,2.533550274623491,1.7372584140323888,2.0444562164004574,,
BI/1761/76,,1.94549408754308,2.307447166356233,2.397220202446697,2.135078210802444,2.129528400886514
NL/620/89,,2.7318968170928914,4.035028702188166,4.169773036075055,3.281123497452016,3.3763438984845107
A/BRISBANE/22/94,3.1203781429906017,,4.0383404056447,4.160878770580978,3.4613332754551216,3.537355689038842
NL/823/92,,2.5178734014664754,3.5124552625034244,3.6938835899978404,2.911862889472884,3.012327792241877
A/PERTH/27/2007,2.327778474530799,,1.6983648932269868,1.9404155683377542,2.313851584946949,2.449779203277555
NL/233/82,,2.299358223185714,3.696702358812588,3.855159265643417,2.96596918885204,3.0267263150560337
PM/2007/99,,2.836791995254917,1.9574974989508058,2.305029377062352,3.0760835935656585,3.1673436305385887
BI/2271/76,,2.213115082410621,3.04166609341408,3.1329247613244444,2.6709115410098163,2.6673134108230303
BI/16190/68,,2.201479437255465,2.4080595023224336,2.4405060618026937,2.4655536558843427,2.4911841921385687
A/VICTORIA/110/2004,2.906503632554564,,1.6485035679631084,1.8061790782076386,2.702368320013467,2.79977769989635
A/TASMANIA/1/97,2.3185559029159477,2.560417990159647,2.4038562425403125,2.6628609667442076,2.6353365203429315,2.7361493970112667
A/CHRISTCHURCH/1/96,2.989470621652949,3.2473459107023626,3.384023125600987,3.340260980090829,3.047032053477141,3.1167536534180273
A/FUJIAN/140/2000,2.3292788553118555,2.9808181365034625,1.9979776622697898,2.2580349093953043,3.059480061049158,3.161599141227628
A/AUCKLAND/5/96,2.445598199188556,2.50455600111962,2.753488679773069,3.0426334317311796,2.6403658168964443,2.7535649737111303
A/PERTH/16/2009,2.1939359002268795,2.230358207984165,1.541720171321118,1.6602533124265604,2.3475726944847306,2.5179264755893147
A/VICTORIA/1/93,2.008582553001109,2.244289245913305,2.9553546668426787,2.9639995586028047,2.4859927682266085,2.556426361665677
A/WELLINGTON/96/93,2.2847348598366652,2.601520083995982,3.1861540736327134,3.2258927488862787,2.751789818675089,2.8212512759370862
A/NEW_YORK/55/2004,3.385195326426641,3.1873802353364256,1.8115429403674046,2.062655286762445,3.23839843751069,3.3929028936195293
