Serum Name,Prototype_WT_A/NETHERLAND/179/93,A/WELLINGTON/1/94,A/BRISBANE/22/94,A/JOHANNESBURG/33/94,A/SHANGDONG/9/93,A/WELLINGTON/25/93,A/WELLINGTON/96/93,A/VICTORIA/9/94,A/BRISBANE/22/96,A/WUHAN/359/95,A/WELLINGTON/48/96,A/AUCKLAND/5/96,A/VICTORIA/47/97,A/CANBERRA/1/96,A/PERTH/5/97,A/PERTH/9/97,A/BANGKOK/1/97,A/CHRISTCHURCH/1/96,A/TASMANIA/1/97,A/NANCHANG/933/95,Prototype_WT_A/NETHERLANDS/301/99,A/CANBERRA/9/97,A/SYDNEY/5/97,A/PANAMA/2007/99,A/SOUTH_AUSTRALIA/84/2002,A/FUJIAN/140/2000,A/SOUTH_AUSTRALIA/53/2001,A/VICTORIA/507/98,A/SYDNEY/228/2000,A/TOWNSVILLE/2/99,A/CHRISTCHURCH/68/99,A/VICTORIA/577/99,Prototype_WT_A/NETHERLANDS/213/03,A/PHILIPPINES/427/2002_MDCK,A/WYOMING/3/2003,A/AUCKLAND/20/2003,A/FUJIAN/411/2002,A/PHILIPPINES/472/2002_EGG,A/TOWNSVILLE/36/2003,A/VICTORIA/110/2004,A/BRISBANE/342/2003,A/TOWNSVILLE/4/2002,A/NEWCALEDONIA/12/2004,A/FUKUOKA/55/2002,A/CALIFORNIA/7/2004,A/SINGAPORE/37/2004,A/VICTORIA/523/2004,A/BRISBANE/3/2005,A/NEW_YORK/55/2004,A/BRISBANE/10/2007,A/WISCONSIN/67/2005,A/VICTORIA/500/2009,A/PERTH/27/2007,A/URUGUAY/716/2007,A/VICTORIA/208/2009,A/VICTORIA/8/2010,A/PERTH/16/2009,A/VICTORIA/361/2011,A/BRISBANE/5/2002,A/WELLINGTON/1/2004,A/BEIJING/32/92,A/VICTORIA/1/93,Prototype_RG145K_A/NETHERLANDS/178/95,VN015_EL134_2008,VN016_EL135_2008,VN017_EL140_2008,HN196_2009,HN201_2009,VN018_EL204_2009,HN206_2009,VN019_EL442_2010,VN020_EL443_2010,VN021_EL444_2010,VN053_2010
A/WELLINGTON/1/94,3.0196211339597068,2.897799332025103,3.0647152339821546,2.455266026575387,1.9632814215435253,3.063033964914033,2.4670880782687323,3.0417068620489216,2.194688762943774,1.8908015169788635,1.5771714530775975,1.46990558518544,0.799656868305572,0.8533317037956664,1.9582361339898635,2.191764138553124,1.6855499490552543,1.5055805316799886,0.9469434081065004,2.1001946086146632,0.6898350878275262,0.715079761658049,0.7343418597559371,0.6591695518329097,0.7035579774268238,0.7141828535508329,0.6811858456539338,0.741316133712639,0.6688636879784983,0.6750121350472068,0.7212085440979503,0.6896192248850795,0.7240442533438186,0.7221283088399092,0.656212010151436,1.0110188746401212,0.7073431313305647,0.7198286069099072,0.7236228693522877,0.7054056247788218,0.691763285883497,0.7175608972350515,0.6879780628881149,0.6548723151940582,0.7467720027654784,0.6914372602285707,0.979268897246552,0.8827080392257121,0.744774058017491,0.6996379761235632,0.6977429220662257,0.6967367773529572,0.6994235170125511,0.708936470831219,0.6862196457434102,0.7071949516969174,0.7099229895438376,0.6975391687018284,0.7147570061648185,0.7012708848349448,1.665576396806422,0.7746081941987212,2.3982673297111363,0.7490817614866125,0.707844635350587,0.6783569781929777,0.7089610486602667,0.6920070708244552,0.6757261042819008,0.7177550502695554,0.6518582139607028,0.6528470585995234,0.6367613504411819,0.6378888614191889
A/NANCHANG/933/95,0.7148452117730972,0.7491914778780916,0.8049602727771122,0.7168133007344915,0.6846911544252328,0.7260948970701268,0.7607163717357924,0.7674254937141688,2.6840729781064203,2.165294991338699,2.585450464382431,2.3369459276497846,2.7565566925304927,2.4730358525492497,2.4750355698362223,2.7288218104572155,2.422206350412254,2.5918017668578552,1.9646000729150828,2.44286846343399,0.646189860143385,0.7829663371444838,0.75173737010257,0.6749325857927291,0.7928657717510421,0.7059124216821462,0.9066492322344475,0.8297507484284118,0.6835990619994574,0.6663883004603546,0.7228990103892796,0.7150153084121811,0.335243636005495,0.5454035627667488,0.758785571317871,1.1701827982929274,0.7337705929873273,0.3983451931604935,0.9480338931261121,0.8160379420667346,0.5078779824945509,0.5233802911610204,0.3871097508568549,0.46297237262124696,0.585760845180888,0.581295869909092,0.7529587845813638,0.4709612305108033,0.48187829185000397,0.7293921375827479,0.46751699270647673,0.6507684276059672,0.7150707715511682,0.5138390673594793,0.5950482906424949,0.7441912231294256,0.7313577563788007,0.6570727706907311,0.7087429854475898,0.3450990856149642,0.7540559272817831,0.7081192999176967,0.8087201966310209,0.6549770627310071,0.5724459894857515,0.5757957613959623,0.6112038612965524,0.728910362726555,0.7249035400939228,0.8424592098382385,0.6462890157957617,0.6744073582714007,0.5912878391310258,0.5809279122484744
A/TASMANIA/1/97,0.7275923100348868,1.0309679180803928,1.3056990454070034,0.7121844960170268,0.7168190578959248,1.0573335977798795,0.7316647433575088,1.0229823940310356,2.7614397107482365,2.15826752844925,2.5221116805424475,1.6755742145365495,2.990923721067505,1.6821960053168894,3.206223666774571,3.5138358046750717,1.9555454731470547,2.5093433666406604,3.2117787343262663,2.4567047547993446,0.7977917538951395,1.623811213706782,1.1092261354352382,0.7325794076313973,2.4251510009383606,0.7475422597274708,1.8584344177347654,1.899873741659944,1.5496344144184508,1.2664371052124699,1.5733538056689205,0.7398090812008549,0.7529952960158827,1.2387781880838569,1.2789258735529776,2.153787340154884,1.5524035595431074,0.7548483970383248,1.6361805521042119,1.5834367918288774,1.3118141038300384,1.264480831511179,1.257149986482206,0.7226080887633947,0.7173065325278599,0.7094259403306081,0.7309585585441881,0.7241825449192193,0.6922398371659552,0.6880256837651535,0.6971221738490965,0.7057074606401794,0.6948897462013666,0.6909849011418358,0.6961642097556422,0.7194795883845179,0.7451911099709208,0.702179926780083,1.2721020448052764,0.6951961315557103,0.754846475676358,1.1810501265164555,1.5795687627654393,0.9066152840709457,0.7801696541783506,0.7185694367743269,0.734182249102046,0.8490315014005555,0.8413014161245063,1.0395343278624474,0.7744661931148086,0.7507846903169723,0.6832384729617836,0.6412984698212338
A/CANBERRA/1/96,2.484262942055548,2.478050129792611,2.74263576498629,1.9521023236302608,2.0956274393509746,2.479391420995796,1.8843597509172874,2.521107762472902,3.357967500845119,3.0641332114828788,2.5702607311457393,2.725450767142288,2.7815848183410723,2.952872537864757,3.369418189169524,3.673218696402487,3.0241348998591375,2.5201555611510496,3.1642058118006484,3.362246494565363,1.4317628188825133,1.849516539768953,1.873971110782525,0.9646975789896901,0.8145432529641705,0.726446170488148,0.7898897811446516,1.5433533500013472,1.000737213577299,0.7133284216140688,1.5196431282462337,1.264979548566751,1.2327459132941696,0.9622421301692625,1.2800648855688816,1.87263918073391,0.7429993220100896,0.7841245508385319,0.761274224156478,0.7683347623839653,0.6944427462615642,0.7205522109987023,0.6737848493299018,0.6741675161634959,0.7027471128023314,0.7358267078034145,1.2618168771518903,0.6770888133463397,0.6932047699142885,0.7094763665505054,0.7089611157554105,0.6779680257533964,0.7162220725495608,0.6912819087797011,0.7064648512911158,0.7253085042500235,0.6875725111289231,0.7201582844982577,1.006391015668416,0.7274565002889403,1.8768493434550702,0.7816025900111323,2.742099691656858,0.6916777131453482,0.7655098494820793,0.5950845127543279,0.7378727930215601,0.6181643225513254,0.6823875005082473,0.6630771403049657,0.6560188390985282,0.619142122556648,0.5957718450356986,0.6707231876988077
A/WUHAN/359/95,1.8841516118119053,1.9133901244341103,2.181292837864181,1.3828427050397818,0.808547894935688,2.3843848566241013,1.628370943051289,2.163412432310485,3.3574806979844403,3.0008566683001705,2.7741394665715338,2.705217891257917,2.7765492469482185,2.458542373349227,3.3363148190594294,3.6635777758105057,2.747719222185393,2.81114387616557,2.7554104472171503,3.0749964660176463,1.0518453086089794,2.1614740051646066,2.3563097640417348,0.7743425327071464,2.136031214922875,1.7238850470285403,1.5749036616916339,1.8590862700013226,0.8170061836439593,0.7821161677405937,1.335357745399255,0.7558362032488644,1.2899124070230044,1.0207997529795836,1.3203210436085175,1.9309577301020404,1.2750410589913361,1.7554688655346604,1.5205439703642791,1.2970311686197624,0.7386776053079347,0.7497806788095042,0.7710356880685254,0.7709494581654567,0.6927864183599903,0.7349391058908182,1.2470821537694854,0.7052198698899106,0.7021799521655894,0.7112874683837556,0.7176790967728413,0.7009151785035863,0.7033854513354352,0.6906327603107819,0.6939432439418081,0.6690241600732233,0.6855098625315816,0.6751778418715801,1.2680520094089296,0.716692121530661,0.7918880984876643,0.6781233333433955,2.701774557952006,0.7876684725402525,0.7623446446338692,0.7832072112234348,0.778696551176029,0.675795199043993,0.7077680227470635,0.5950416658456653,0.7253573231131002,0.6856529598275267,0.7505239478343184,0.6686807909174105
A/BANGKOK/1/97,1.974657018324681,2.1635411268871567,2.4269002328269997,1.5920009938794801,1.6296171684345357,2.1821026916346002,1.5896858841863444,2.1743203791382553,3.083693980528508,2.734702807067582,2.992494166634452,2.1831459208287582,2.9630327967326724,2.447858737015143,2.900172708328696,3.209365476275429,2.7073127054111796,3.0391342759091833,2.207756770959581,3.0271870156829004,0.8335676018132641,1.8440138358356837,1.5879482699232468,0.7098006236378392,2.4157090333234237,0.7701081185399782,1.8547943760725558,2.092974563322779,1.5656637338219421,1.3026322249853275,1.5993757832664097,0.7348299475071074,0.7714731978292153,1.301716167646826,1.3048217319824773,2.3738771389643127,1.3315220075729435,0.8015807563958638,1.8594746278196252,1.79539945485276,1.5937906961260686,1.529485487917431,1.5622278037201107,0.7319134718102099,0.688360571635613,0.6664798861116302,0.756597926536906,0.7131856199632005,0.7014651273703016,0.6791809770011222,0.7086631542435239,0.7202054729530958,0.6586862695242951,0.7449080357121363,0.7015582239073103,0.6994583351476119,0.7072332327315455,0.7276405773582051,1.3149972307654951,0.7272416393080815,1.779037609497732,0.800806483587008,2.4351039463803508,0.8584434520003492,0.759661010568745,0.7578494967423378,0.7418878244755822,0.846624046723029,0.8847732441300864,1.0108368930978446,0.8977575642916197,0.8666584091973095,0.814640483994719,0.7869789530516781
A/SYDNEY/5/97,1.1787654173230502,0.7062615192931724,0.6774842019639806,0.7861328576679399,0.7001431553989198,0.7048889478046759,0.7368397945731331,0.7645350286450671,1.555656124295612,1.2550343500690546,1.6139236057603261,0.753307947341482,0.7480011783047804,0.6891274236575329,1.57244804551125,1.9349626054997473,1.5185546576489466,1.897940249164113,0.8466473075795846,1.5497493679757337,2.687478708412593,3.0437536178075066,3.0331130907457666,1.387322320112828,3.28242075429838,0.8203625734075092,2.774979155999673,2.5074552949817095,2.4859729326955007,2.152774471867191,2.4505562257762126,2.120580826848484,2.2650517276242716,1.9158024623301446,2.421966546348102,2.732228114472919,2.462205888502482,2.7819863180344893,2.50798487941863,2.2348044684159825,2.221522508552614,2.1740120408678756,2.393592681726366,2.096862303244575,0.764149898344694,1.3080332561808632,1.2882558068083845,0.7372662027249789,0.7705594487378474,0.7286868248610288,1.08505799508609,0.6883759670252542,0.6829814858689918,1.1867386662295676,0.7015440122218232,0.7274362274797649,0.7120410268644718,0.7394956049278067,2.127386811623206,1.6457041118327198,0.7918758600405686,0.6607161616704019,1.2515417831028315,1.038102983877249,0.9718641490254789,0.9176987295009629,0.9443984043618625,0.732840052468865,0.7941640228194331,0.7383755373347884,0.7891466937522459,0.716840666661725,0.7882528980670414,0.7914585531342636
A/PANAMA/2007/99,0.7185073818526332,0.6910223177073327,0.7059396698531131,0.6634920328674226,0.7030791213681378,0.7061600575682162,0.716500219941074,0.6902765560086689,1.3190026302344706,0.9809234951361371,1.3255375505558293,0.7060134524757573,1.2432403460170185,0.7325627764699081,1.5706451490656352,1.8822141170429965,1.035874868231221,1.8776168245238654,1.0326580093138016,1.0280991002052842,2.7410119594209386,3.0673646712922595,3.2788827712939255,2.27067844898811,3.1076661051476244,2.262792129529761,3.005836553817166,2.5290721536778755,2.4895046080600145,2.166817828957334,2.4960957510736366,1.8963838164569373,2.189854864757054,2.1489308789562567,2.408346313937461,2.7080286205132356,2.449474605109032,2.8094009604063523,2.2600429567251665,1.9467056843117545,2.1986926728957514,2.160558377054474,2.3973806308196304,2.179718239291448,0.7023585562819326,1.2556392800457463,0.8254857390345491,0.7436168543290245,0.714043327642919,0.7752052661042301,1.0212018241359702,0.6871206034196988,0.6504286186800533,0.7382249634520226,0.6969958229481312,0.687269528861486,0.6670594536842359,0.7538101016826542,2.1942798412379414,1.8478432492137786,0.6713082651547024,0.7064899424995179,0.7119414580026898,0.7458012891099318,0.7166542461047632,0.7047301378903182,0.7210996965237958,0.6969308905393824,0.6991249659368097,0.6900989664135182,0.6914760889212803,0.6852941493892425,0.6917159472941278,0.7050881273508829
A/VICTORIA/507/98,0.7133014821915187,0.7133963205257045,0.7445868892360732,0.6238388292560078,0.7119461514830021,0.7540146884483132,0.6858601263599338,0.6881356931207201,2.147918241796295,0.8196089674238916,2.1732023789863875,0.7654036450159403,2.391140285910463,0.7592182984010831,2.181511288391673,2.7328968402531166,1.841763671842524,2.455108812803805,2.145965596344323,1.5989938684873535,2.732572142082501,3.2826136922942766,3.0416294247315423,1.5759620109226504,3.0441559045010465,0.7590242835588183,2.465395655257194,2.436373728553707,2.1437467753132133,1.6260421386770183,1.917724663819349,2.3972104825227922,2.440808194337362,0.8419939467989015,2.7127910276516647,2.523232809221124,1.9351687388625258,2.728983445535485,2.140675165876224,1.863794974365729,1.5806460253729449,0.8276338877579741,0.8629169968171613,2.1089756865693423,0.7311054027747949,1.8377338830482888,1.5700064777729186,0.6964301267920298,0.7509176609347263,0.6921611714390812,1.2703113666695014,0.6867872676757951,0.6810814714901704,0.7687128989380687,0.6872108037610338,0.6834580501210679,0.6959342364128267,0.6661765893335659,1.6197304756936068,1.5804286021740133,0.6600460379477568,0.710015405578841,0.7334645177012097,0.7332021746096183,0.7319103507791377,0.726010181750298,0.7302447057976799,0.6840618402469044,0.6870082822667188,0.6644448475836104,0.6828345842302045,0.6708704347176011,0.695332272926736,0.6893392402245143
A/VICTORIA/577/99,0.986917801338461,0.7135558577454196,0.7060419409007276,0.708435338126875,0.6787802969530795,0.6786784585149492,0.6696143760396717,0.6886800279196371,1.070826858545976,0.9640692365044183,1.2760802108645546,0.8962157314726789,0.7464718233004918,0.6981113845631001,1.3185370119720354,1.5862834426003831,0.7958640177095619,1.602170260077205,1.0009850848650974,1.020343561480364,2.7331291148051697,2.8063665660268704,2.7798700074763354,1.332328087266272,3.0871605364206816,0.8289467140633939,2.7423318575787583,2.4714442106640337,2.445531736017319,2.1425961437182757,2.451184242787298,1.8163710142110103,2.631400609180709,2.0739665161402177,2.2520651842503074,2.6982652676451027,2.4602787891139015,2.6963183235732906,2.4439416418837374,2.1346152444422155,2.1892210484179966,2.1465685269412678,2.2221168386971173,1.7742961482528434,0.7465228069523558,1.0428431188096148,1.0059536208710553,0.7628308509370483,0.7269762513679546,0.6705896088587049,0.9668419238483219,0.7061273481266227,0.7042233195740288,0.7841221120400973,0.687493613913764,0.6809918981274216,0.7089436491020418,0.6715242483733709,2.1436936521330923,1.795626965984792,0.7040959659767128,0.6998423406189792,1.005695538668845,0.7646959501800602,0.7680687530849142,0.7550026557859888,0.7448941037942706,0.694447601426188,0.7065938545883701,0.7309765887051937,0.6953127340678805,0.6882843121135706,0.6754970638834403,0.68162712281151
